id,zip,location,city,population,people_per_sqmi,rank
1,10162,"40.769298, -73.949942","New York,ÊNew York",1726,151834.77,#1
2,10028,"40.776865, -73.954721","New York,ÊNew York",44987,126067.69,#2
3,10128,"40.781656, -73.950281","New York,ÊNew York",59856,122356.52,#3
4,10031,"40.825857, -73.949451","New York,ÊNew York",60221,101100.03,#5
5,10009,"40.726622, -73.978955","New York,ÊNew York",58595,100687.04,#6
6,10032,"40.839194, -73.942591","New York,ÊNew York",63842,97879.45,#7
7,11372,"40.751706, -73.883561","Jackson Heights,ÊNew York",71308,97325.47,#8
8,10016,"40.744983, -73.978262","New York,ÊNew York",51217,93367.31,#9
9,10003,"40.731856, -73.989145","New York,ÊNew York",53673,93255.87,#10
10,10002,"40.715952, -73.985870","New York,ÊNew York",84870,91610.4,#11
11,10026,"40.802320, -73.952943","New York,ÊNew York",30377,91152.04,#12
12,10023,"40.775394, -73.982197","New York,ÊNew York",62206,90007.7,#13
13,10025,"40.797958, -73.964917","New York,ÊNew York",97086,88306.24,#14
14,10453,"40.852779, -73.912332","Bronx,ÊNew York",76775,87970.27,#15
15,10030,"40.818492, -73.943283","New York,ÊNew York",25847,85824.24,#16
16,10021,"40.769742, -73.961653","New York,ÊNew York",102078,82704.42,#17
17,11226,"40.646430, -73.956866","Brooklyn,ÊNew York",106154,81064.34,#18
18,10029,"40.792245, -73.945230","New York,ÊNew York",75390,80506.67,#19
19,10012,"40.725639, -73.998090","New York,ÊNew York",26000,80124.51,#20
20,10033,"40.849124, -73.935956","New York,ÊNew York",58259,78867.63,#21
21,10040,"40.858134, -73.929031","New York,ÊNew York",46599,75283.14,#22
22,11104,"40.744515, -73.920457","Sunnyside,ÊNew York",29506,74459.01,#23
23,10452,"40.837763, -73.923314","Bronx,ÊNew York",72138,74380.42,#24
24,10011,"40.741844, -74.000711","New York,ÊNew York",46669,71113.64,#25
25,10039,"40.826296, -73.937053","New York,ÊNew York",21737,70988.68,#26
26,10456,"40.830877, -73.907954","Bronx,ÊNew York",76656,70924.4,#27
27,10010,"40.739122, -73.982363","New York,ÊNew York",26408,70827.7,#28
28,10468,"40.868093, -73.899730","Bronx,ÊNew York",78309,70721.85,#29
29,10022,"40.758615, -73.967752","New York,ÊNew York",30642,68953.71,#30
30,10037,"40.813159, -73.937352","New York,ÊNew York",16984,65200.97,#31
31,10458,"40.862831, -73.886395","Bronx,ÊNew York",77840,62296.26,#32
32,11103,"40.762634, -73.913156","Astoria,ÊNew York",44321,62111.19,#33
